##动作片##,#genre#
龙骨遗冢,https://m3u8.hmrvideo.com/play/230dc2fa100f4168b5e13875b6f7d46f.m3u8
猩球崛起：新世界,https://svip.high22-playback.com/20240520/2309_3ad4bbad/index.m3u8
埃利亚斯,https://svip.high21-playback.com/20241107/39842_f3784dd5/index.m3u8
狼战,https://svip.high21-playback.com/20241019/39495_060f2eb8/index.m3u8
幽灵行星,https://svip.high21-playback.com/20241029/39669_b855e785/index.m3u8
危机航线TC,https://v5.qrssv.com/202410/20/7amsfMYsW221/video/index.m3u8
749局TC,https://m3u8.hmrvideo.com/play/7a3ee9247eac4ccd9d7498b1f2dfb0ef.m3u8
熊猫计划TC,https://v4.qrssv.com/202410/20/DuxQEPH6qL20/video/index.m3u8
-空-,
##恐怖片##,#genre#
湄公河水鬼,https://svip.high21-playback.com/20241118/40074_a545868b/index.m3u8
百烛游戏2,https://v.cdnlz12.com/20241028/17489_82691100/index.m3u8
看到灵魂的那只眼.师公,https://svip.high21-playback.com/20241109/39896_14b7344c/index.m3u8
-空-,
##科幻片##,#genre#
逃生舱,https://svip.high21-playback.com/20240814/38212_7fec748a/index.m3u8
-空-,
##动画片##,#genre#
蜡笔小新:新次元!超能力大决战,https://v11.tlkqc.com/wjv11/202403/07/v8gX1GRSv33/video/index.m3u8
哆啦A梦:大雄的地球交响乐,https://m3u8.hmrvideo.com/play/3d3a749cbf8e472ba9f067c81fd51436.m3u8
-空-,
我是刑警,#genre#
第09集,https://v6.qrssv.com/202411/30/0TLi4DG9YE20/video/index.m3u8
第10集,https://v3.qrssv.com/202412/01/mSJSgQHpQP24/video/index.m3u8

青春环游记[第五季],#genre#
20240518,https://m3u8.hmrvideo.com/play/8f2f0d61e6c44208a01d7ad4fc9fcdf8.m3u8
20240525,https://m3u8.hmrvideo.com/play/8f5bba2471f246d09a7dd6fb0953b17d.m3u8
20240601,https://m3u8.hmrvideo.com/play/a237b75aa65f4bd689018ee317bddae6.m3u8
20240609,https://m3u8.hmrvideo.com/play/2c636c903f364e54a4bcd6731a77aa94.m3u8
20240615,https://m3u8.hmrvideo.com/play/00aa63bdab714c82b006841fc38cf49a.m3u8
20240622,https://m3u8.hmrvideo.com/play/09651f2aa037435ebb1fb4dabf49655e.m3u8
20240629,https://m3u8.hmrvideo.com/play/1652452c7c964afaa97fbb65ae0a9c1b.m3u8
20240706,https://m3u8.hmrvideo.com/play/b73510edf1b3415faa0c85c1e031ac87.m3u8
20240713,https://m3u8.hmrvideo.com/play/38585f0020144352a76509006a652bcf.m3u8
20240720,https://m3u8.hmrvideo.com/play/371bfb8f205e4883ad71b245d3285811.m3u8
20240727,https://m3u8.hmrvideo.com/play/9f7dc1f109b14be799ff29ab0a8fc760.m3u8
20240803,https://m3u8.hmrvideo.com/play/47a1eeb5646c4f078ac3e0320eff4e11.m3u8
-完-,
变形金刚,#genre#
1.变形金刚1,https://m3u8.hmrvideo.com/play/87aac996a52d471baa956a3c88649474.m3u8
2.变形金刚2,https://m3u8.hmrvideo.com/play/c222e194ce5a42ecab87965efc650821.m3u8
3.变形金刚3,https://yzzy.play-cdn2.com/20220429/16886_bd462507/index.m3u8
4.绝迹重生,https://m3u8.hmrvideo.com/play/05f2b5c61ccd46429341f10f23a5c684.m3u8
5.最后的骑士,https://m3u8.hmrvideo.com/play/4d1772c58a3243c1ad5b73f25f2e01b6.m3u8
6.超能勇士崛起,https://m3u8.hmrvideo.com/play/43efdf1dd52a4b1aa4a8dad352ee55fb.m3u8
7.大黄蜂,https://m3u8.hmrvideo.com/play/d0b4f55c161140c499bd7ee7f9022959.m3u8
-空-,
钢铁侠,#genre#
钢铁侠1,https://m3u8.hmrvideo.com/play/9d757798c61441baa7ff73d24fb47b9c.m3u8
钢铁侠2,https://m3u8.hmrvideo.com/play/75f50898f67d4f5b885edb56c1a44780.m3u8
钢铁侠3,https://m3u8.hmrvideo.com/play/6118fb35cb2348e692de938dda3f877c.m3u8
